dpto_ccdgo;mpio_ccdgo;mpio_cdpmp;clas_ccdgo;setr_ccdgo;setr_ccnct;secr_ccdgo;secr_ccnct;zu_ccdgo;zu_cdivi;setu_ccdgo;setu_ccnct;secu_ccdgo;secu_ccnct;manz_ccdgo;manz_ccnct;manz_cag;tipo_ctstr;cod_ctstr;manz_nano;manz_nid;manz_nfe;manz_tipo;fuen_actlz;tipo_imgn;ano_fuente;tipo_actlz;ano_actlz;revi_campo;manz_narea;manz_lati;manz_long;shape_Leng;MANZ_VIV;FT_ACT_VIV;Shape_Le_1;Shape_Area;ID_unico;sum_22HOM;sum_23HOM;sum_24HOM;sum_25HOM;sum_22LP;sum_23LP;sum_24LP;sum_25LP;sum_22VI;sum_23VI;sum_24VI;sum_25VI;sum_22DS;sum_23DS;sum_24DS;sum_25DS;sum_22HP;sum_23HP;sum_24HP;sum_25HP;sum_22HR;sum_23HR;sum_24HR;sum_25HR;sum_22HC;sum_23HC;sum_24HC;sum_25HC;sum_22HA;sum_23HA;sum_24HA;sum_25HA;sum_22HM;sum_23HM;sum_24HM;sum_25HM;sum_22SS;sum_23SS;sum_24SS;sum_25SS;sum_22SE;sum_23SE;sum_24SE;sum_25SE;sum_22EX;sum_23EX;sum_24EX;sum_25EX;sum_22TR;sum_23TR;sum_24TR;sum_25TR;geom;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;1;88001;1;0;880011000;0;88001100000;0;88001000;1;8.80011E+17;15;8.80011E+19;8;8.80011E+21;961351;IGAC;8.8001E+12;2023;NA;NA;NA;NA;NA;0;NA;0;NA;5814.817753;12.58515967;-81.70149944;0.003621714;1;RECUENTO 2022;0.003621715;4.76E-07;4042;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;list(c(-81.7009652858192;-81.70099732;-81.70122337;-81.70128643;-81.70127172;-81.70129709;-81.70131138;-81.70131185;-81.70132687;-81.7013709;-81.70165406;-81.70221918;-81.70221654;-81.70221151;-81.70218961;-81.70217779;-81.70212668;-81.70212438;-81.70207283;-81.7019938;-81.70191965;-81.70182136;-81.70178849;-81.70170302;-81.70159328;-81.70156959;-81.70152913; ;
-81.70150976;-81.70143729;-81.70142353;-81.70135654;-81.70134977;-81.70132374;-81.70131917;-81.70129397;-81.70128686;-81.70126368;-81.70119927;-81.70119823;-81.7011415;-81.70111006;-81.70110466;-81.7010747;-81.70107291;-81.70099319;-81.70095614;-81.70090126;-81.70083727;-81.70086595;-81.70093573;-81.70096529;12.58463872;12.58461638;12.58473654; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.58479603;12.5848159;12.58486319;12.58488983;12.58489079;12.58492176;12.58501256;12.58510179;12.58516366;12.58517963;12.58522263;12.58525289;12.58526923;12.58530684;12.58530815;12.58533755;12.58538354;12.58542684;12.58548271;12.5855014;12.58554998;12.58561162;12.58561337;12.5855991;12.58556899;12.58547855;12.58546136;12.58537693; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.58536839;12.58533615;12.58533037;12.58529852;12.58528953;12.58526077;12.58518083;12.58517954;12.5851089;12.58506974;12.5850632;12.58502689;12.58502472;12.58492508;12.58487891;12.58481053;12.58473088;12.58471016;12.58465976; 12.5846387207005));;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;1;88001;2;4;880012004;1;88001200401;1;88001001;1;8.80012E+17;1;8.80012E+19;43;8.80012E+21;961895;IGAC;0;2023;NA;NA;NA;NA;NA;0;NA;0;NA;1188.284645;12.57157305;-81.71203631;0.001721794;8;FUENTES SECUNDARIAS 2020;0.001721795;9.72E-08;4043;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;list(c(-81.7119280953053;-81.71170889;-81.71165547;-81.71175686;-81.71215809;-81.7122277;-81.7123717;-81.71239337;-81.71220335;-81.71201362;-81.71195899;-81.7119281;12.57174837;12.57166414;12.57162703;12.57161677;12.57143707;12.5714059;12.57135907;12.57139619;12.57155858;12.57172996;12.57171308; 12.5717483672934));;;;;
88;564;88564;2;7;885642007;1;88564200701;1;88564001;1;8.85642E+17;1;8.85642E+19;4;8.85642E+21;962184;IGAC;0;2023;NA;NA;NA;NA;NA;0;NA;0;NA;28166.02308;13.34667597;-81.39180667;0.008808138;20;VIV_CNPV2018;0.008808137;2.31E-06;4044;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;list(c(-81.3918973871546;-81.39180402;-81.3917241;-81.39156343;-81.39140777;-81.39126432;-81.39116054;-81.39099877;-81.39088286;-81.39083233;-81.39080303;-81.39077374;-81.39073468;-81.39069073;-81.39065167;-81.39063704;-81.39063704;-81.3906517;-81.39067125;-81.39072985;-81.39084217;-81.39094962;-81.39103264;-81.39108148;-81.39111567;-81.39117427;-81.39127683; ;
-81.39135986;-81.3914673;-81.39153567;-81.39162846;-81.39174018;-81.39174934;-81.39176766;-81.39179513;-81.3918226;-81.39185618;-81.3918745;-81.3918623;-81.39183789;-81.39203058;-81.39235411;-81.3927112;-81.39269665;-81.39268958;-81.39267841;-81.39262284;-81.39260737;-81.39260736;-81.3925829;-81.39255542;-81.39220442;-81.39192057;-81.39181375; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-81.39173439;-81.39163977;-81.39158178;-81.39152074;-81.39152684;-81.39165808;-81.39192057;-81.39227156;-81.39256457;-81.3925672;-81.39256289;-81.39256181;-81.39237988;-81.39228068;-81.3922475;-81.39193532;-81.39189739;13.34735403;13.34731479;13.34729715;13.34730256;13.34731151;13.34734736;13.34738022;13.34738917;13.34740131;13.34737347; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.34733521;13.34729695;13.34723478;13.34717261;13.34708654;13.34697177;13.34689526;13.34680919;13.34674224;13.34668487;13.34667053;13.34663229;13.34660361;13.34653667;13.34649842;13.34644104;13.34639323;13.34635977;13.34628805;13.34624502;13.34619721;13.34612699;13.34607319;13.3460194;13.34596859;13.3459148;13.34586698;13.34579227;13.34573549; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.34569663;13.34571861;13.34574554;13.34579638;13.34587201;13.34590874;13.34596676;13.34625555;13.34634928;13.3465017;13.34687827;13.34702172;13.34700375;13.34697384;13.34695889;13.34694094;13.34695289;13.34694691;13.34692;13.34698277;13.34698577;13.34701568;13.3470456;13.34705459;13.34725732;13.34738077;13.34741151;13.34740126;13.34740125; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
